MKT_UNIQUE_CARRIER,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,BRANDED_CODE_SHARE,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER,MKT_CARRIER_FL_NUM,SCH_OP_UNIQUE_CARRIER,SCH_OP_CARRIER_AIRLINE_ID,SCH_OP_CARRIER,SCH_OP_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,DUP,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
F9,2023,2,5,1,1,5/1/2023 12:00:00 AM,F9,20436,F9,100,,,,,F9,20436,F9,N303FR,100,10397,1039707,30397,ATL,14843,1484306,34819,SJU,1430,1503.0,33.0,33.0,1.0,2.0,1400-1459,12.0,1515.0,1808.0,6.0,1803,1814.0,11.0,11.0,0.0,0.0,1800-1859,0.0,,0.0,N,213.0,191.0,173.0,1.0,1547.0,7,,,
F9,2023,2,5,1,1,5/1/2023 12:00:00 AM,F9,20436,F9,101,,,,,F9,20436,F9,N303FR,101,14843,1484306,34819,SJU,10397,1039707,30397,ATL,1854,1903.0,9.0,9.0,0.0,0.0,1800-1859,17.0,1920.0,2253.0,10.0,2300,2303.0,3.0,3.0,0.0,0.0,2300-2359,0.0,,0.0,N,246.0,240.0,213.0,1.0,1547.0,7,,,
F9,2023,2,5,1,1,5/1/2023 12:00:00 AM,F9,20436,F9,1010,,,,,F9,20436,F9,N611FR,1010,10397,1039707,30397,ATL,13204,1320402,31454,MCO,820,822.0,2.0,2.0,0.0,0.0,0800-0859,18.0,840.0,937.0,14.0,959,951.0,-8.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,N,99.0,89.0,57.0,1.0,404.0,2,,,
F9,2023,2,5,1,1,5/1/2023 12:00:00 AM,F9,20436,F9,1011,,,,,F9,20436,F9,N611FR,1011,13204,1320402,31454,MCO,10397,1039707,30397,ATL,545,544.0,-1.0,0.0,0.0,-1.0,0001-0559,13.0,557.0,701.0,8.0,720,709.0,-11.0,0.0,0.0,-1.0,0700-0759,0.0,,0.0,N,95.0,85.0,64.0,1.0,404.0,2,,,
F9,2023,2,5,1,1,5/1/2023 12:00:00 AM,F9,20436,F9,1013,,,,,F9,20436,F9,N382FR,1013,13204,1320402,31454,MCO,10397,1039707,30397,ATL,1947,1937.0,-10.0,0.0,0.0,-1.0,1900-1959,16.0,1953.0,2100.0,26.0,2125,2126.0,1.0,1.0,0.0,0.0,2100-2159,0.0,,0.0,N,98.0,109.0,67.0,1.0,404.0,2,,,
F9,2023,2,5,1,1,5/1/2023 12:00:00 AM,F9,20436,F9,1018,,,,,F9,20436,F9,N382FR,1018,10397,1039707,30397,ATL,13204,1320402,31454,MCO,2231,2223.0,-8.0,0.0,0.0,-1.0,2200-2259,13.0,2236.0,2329.0,15.0,9,2344.0,-25.0,0.0,0.0,-2.0,0001-0559,0.0,,0.0,N,98.0,81.0,53.0,1.0,404.0,2,,,
F9,2023,2,5,1,1,5/1/2023 12:00:00 AM,F9,20436,F9,102,,,,,F9,20436,F9,N613FR,102,14492,1449202,34492,RDU,14843,1484306,34819,SJU,1426,1419.0,-7.0,0.0,0.0,-1.0,1400-1459,16.0,1435.0,1738.0,6.0,1746,1744.0,-2.0,0.0,0.0,-1.0,1700-1759,0.0,,0.0,N,200.0,205.0,183.0,1.0,1433.0,6,,,
F9,2023,2,5,1,1,5/1/2023 12:00:00 AM,F9,20436,F9,1022,,,,,F9,20436,F9,N382FR,1022,13204,1320402,31454,MCO,13232,1323202,30977,MDW,1205,1240.0,35.0,35.0,1.0,2.0,1200-1259,13.0,1253.0,1417.0,6.0,1359,1423.0,24.0,24.0,1.0,1.0,1300-1359,0.0,,0.0,N,174.0,163.0,144.0,1.0,990.0,4,,,
F9,2023,2,5,1,1,5/1/2023 12:00:00 AM,F9,20436,F9,1023,,,,,F9,20436,F9,N374FR,1023,13232,1323202,30977,MDW,13204,1320402,31454,MCO,845,839.0,-6.0,0.0,0.0,-1.0,0800-0859,23.0,902.0,1203.0,8.0,1220,1211.0,-9.0,0.0,0.0,-1.0,1200-1259,0.0,,0.0,N,155.0,152.0,121.0,1.0,990.0,4,,,
F9,2023,2,5,1,1,5/1/2023 12:00:00 AM,F9,20436,F9,1024,,,,,F9,20436,F9,N332FR,1024,13204,1320402,31454,MCO,13232,1323202,30977,MDW,2305,2332.0,27.0,27.0,1.0,1.0,2300-2359,12.0,2344.0,105.0,7.0,59,112.0,13.0,13.0,0.0,0.0,0001-0559,0.0,,0.0,N,174.0,160.0,141.0,1.0,990.0,4,,,
